采集时间,经度(Longitude),纬度(Latitude),高度(Altitude_m),SO2(ug/m3),SO2标识,NO2(ug/m3),NO2标识,NO(ug/m3),NO标识,NOx(ug/m3),NOx标识,CO(mg/m3),CO标识,O3(ug/m3),O3标识,工况PM2.5(ug/m3),工况PM2.5标识,工况PM10(ug/m3),工况PM10标识,大气温度(℃),大气温度标识,大气湿度(%),大气湿度标识,风向(°),风向标识,风速(m/s),风速标识,大气压(hPa),大气压标识,Thermal_OC(ug/m^3),Thermal_OC标识,Thermal_EC(ug/m^3),Thermal_EC标识,OptOC(ugC/m^3),OptOC标识,OptEC(ugC/m^3),OptEC标识,TC(ugC/m^3),TC标识,BC_370nm(ng/m3),BC_370nm标识,BC_430nm(ng/m3),BC_430nm标识,蓝色_470nm(ng/m3),蓝色_470nm标识,BC_520nm(ng/m3),BC_520nm标识,黄色_565nm(ng/m3),黄色_565nm标识,黄色_590nm(ng/m3),黄色_590nm标识,红色_660nm(ng/m3),红色_660nm标识,BC_760nm(ng/m3),BC_760nm标识,黑炭_880nm(ng/m3),黑炭_880nm标识,红外_950nm(ng/m3),红外_950nm标识,标准时间
2025-05-01 00:00:00,119.987,30.276,0.0,2.2,,9.4,,0.3,,9.9,,0.252,,100.1,,26.1,,38.3,,21.54,,68.0,,184.0,,2.4,,1005.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 00:00:00
2025-05-01 00:05:00,119.98700118733338,30.276000008858198,5.0,1.5,,9.4,,0.1,,9.6,,0.255,,100.9,,26.1,,38.3,,21.55,,67.0,,183.0,,3.4,,1004.8,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 00:05:00
2025-05-01 00:10:00,119.98700237446849,30.276000035431803,10.0,1.6,,8.6,,0.2,,9.0,,0.255,,101.6,,26.1,,38.3,,21.69,,67.0,,185.0,,2.1,,1004.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 00:10:00
2025-05-01 00:15:00,119.98700356120713,30.27600007971786,15.0,1.3,,8.3,,0.4,,8.9,,0.255,,102.2,,26.1,,38.3,,21.68,,67.0,,187.0,,2.6,,1005.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 00:15:00
2025-05-01 00:20:00,119.98700474735107,30.276000141711442,20.0,1.8,,8.0,,0.2,,8.4,,0.261,,105.3,,26.1,,38.3,,21.8,,66.0,,184.0,,2.6,,1005.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 00:20:00
2025-05-01 00:25:00,119.98700593270216,30.276000221405642,25.0,1.8,,7.3,,0.1,,7.5,,0.257,,104.8,,26.1,,38.3,,21.8,,67.0,,190.0,,1.7,,1005.1,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 00:25:00
2025-05-01 00:30:00,119.98700711706235,30.27600031879159,30.0,2.1,,7.3,,0.5,,8.0,,0.265,,102.2,,26.1,,38.3,,21.7,,67.0,,195.0,,1.3,,1005.1,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 00:30:00
2025-05-01 00:35:00,119.98700830023365,30.276000433858442,35.0,1.8,,7.6,,1.0,,9.0,,0.264,,100.8,,26.1,,38.3,,21.7,,67.0,,191.0,,0.9,,1005.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 00:35:00
2025-05-01 00:40:00,119.9870094820182,30.27600056659339,40.0,0.9,,8.1,,0.9,,9.4,,0.256,,101.2,,26.1,,38.3,,21.62,,68.0,,185.0,,2.1,,1005.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 00:40:00
2025-05-01 00:45:00,119.98701066221824,30.27600071698165,45.0,2.0,,8.4,,0.6,,9.3,,0.256,,100.2,,26.1,,38.3,,21.6,,68.0,,198.0,,1.8,,1005.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 00:45:00
