标准时间,经度(Longitude),纬度(Latitude),高度(Altitude_m),SO2(ug/m3),SO2标识,NO2(ug/m3),NO2标识,NO(ug/m3),NO标识,NOx(ug/m3),NOx标识,CO(mg/m3),CO标识,O3(ug/m3),O3标识,工况PM2.5(ug/m3),工况PM2.5标识,工况PM10(ug/m3),工况PM10标识,大气温度(℃),大气温度标识,大气湿度(%),大气湿度标识,风向(°),风向标识,风速(m/s),风速标识,大气压(hPa),大气压标识,Thermal_OC(ug/m^3),Thermal_OC标识,Thermal_EC(ug/m^3),Thermal_EC标识,OptOC(ugC/m^3),OptOC标识,OptEC(ugC/m^3),OptEC标识,TC(ugC/m^3),TC标识,BC_370nm(ng/m3),BC_370nm标识,BC_430nm(ng/m3),BC_430nm标识,蓝色_470nm(ng/m3),蓝色_470nm标识,BC_520nm(ng/m3),BC_520nm标识,黄色_565nm(ng/m3),黄色_565nm标识,黄色_590nm(ng/m3),黄色_590nm标识,红色_660nm(ng/m3),红色_660nm标识,BC_760nm(ng/m3),BC_760nm标识,黑炭_880nm(ng/m3),黑炭_880nm标识,红外_950nm(ng/m3),红外_950nm标识
2026-05-03 08:12:04.000,120.04100027885447,30.411556900671897,1.4409634198956587,2.2,,9.4,,0.3,,9.9,,0.252,,100.1,,26.1,,38.3,,21.54,,68.0,,184.0,,2.4,,1005.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:04.100,120.04100248426217,30.411556813868938,1.658528073987739,1.5,,9.4,,0.1,,9.6,,0.255,,100.9,,26.1,,38.3,,21.55,,67.0,,183.0,,3.4,,1004.8,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:04.200,120.04100476049445,30.411557864305333,1.8592863586716266,1.3,,8.3,,0.4,,8.9,,0.255,,102.2,,26.1,,38.3,,21.68,,67.0,,187.0,,2.6,,1005.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:04.300,120.0410056676581,30.411557515223414,2.0583596409018687,1.8,,7.3,,0.1,,7.5,,0.257,,104.8,,26.1,,38.3,,21.8,,67.0,,190.0,,1.7,,1005.1,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:04.400,120.04100617554337,30.411555517693827,2.1758765947909926,1.8,,7.6,,1.0,,9.0,,0.264,,100.8,,26.1,,38.3,,21.7,,67.0,,191.0,,0.9,,1005.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:04.500,120.0410056205463,30.41155454226593,2.42044999863569,0.9,,8.1,,0.9,,9.4,,0.256,,101.2,,26.1,,38.3,,21.62,,68.0,,185.0,,2.1,,1005.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:04.600,120.04100460677907,30.41155311178837,2.7359423809968915,1.3,,8.4,,0.4,,9.0,,0.26,,101.2,,26.1,,38.3,,21.53,,68.0,,188.0,,2.2,,1005.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:04.700,120.04100448866978,30.411553361613006,2.8667406158724367,1.2,,8.0,,0.4,,8.6,,-0.027,PZ,99.0,,23.0,,41.6,,21.37,,69.0,,187.0,,2.2,,1004.8,,3.43,,1.28,,3.56,,1.15,,4.71,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:04.800,120.04100394752017,30.411553659468158,3.012978854745059,1.3,,8.2,,0.1,,8.3,,-0.043,PZ,100.3,,23.0,,41.6,,21.3,,69.0,,191.0,,2.2,,1004.8,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:04.900,120.04100461537433,30.411553147439122,3.211708819436481,0.7,,7.4,,0.5,,8.1,,0.269,,100.6,,23.0,,41.6,,21.3,,70.0,,198.0,,1.3,,1004.7,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
